,Unnamed: 0,Time(sec),Distance(feet),SOC,Elevation(feet),Surplus(Foot-pound)
15964,15964.0,15100.946568000034,664441.648992001,0.717865651727186,283.5,0.0
15965,15965.0,15101.946568000034,664485.648992001,0.7178514442570039,283.5,0.0
15966,15966.0,15102.946568000034,664529.648992001,0.7178841214583244,283.0737498073915,0.0
15967,15967.0,15103.075200000052,664535.3088000017,0.7179323679695511,282.5926702,0.0
15968,15968.0,15104.075200000052,664579.3088000017,0.7179181604993691,282.5926702,0.0
15969,15969.0,15105.075200000052,664623.3088000017,0.7179207178507008,282.457920135169,0.0
15970,15970.0,15105.20383200004,664628.9686080012,0.7179349701353946,282.3058369,0.0
15971,15971.0,15106.20383200004,664672.9686080012,0.7179207626652125,282.3058369,0.0
15972,15972.0,15107.20383200004,664716.9686080012,0.7178863095418904,282.46258696295195,0.0
15973,15973.0,15107.33246400003,664722.6284160007,0.7178616321145913,282.6395001,0.0
15974,15974.0,15108.33246400003,664766.6284160007,0.7178474246444093,282.6395001,0.0
15975,15975.0,15109.33246400003,664810.6284160007,0.717775321702533,283.0877503377106,0.0
15976,15976.0,15109.461096000035,664816.288224001,0.717708151485219,283.5936599,0.0
15977,15977.0,15110.145180000054,664846.3879200018,0.7176459499744183,284.0,0.0
15978,15978.0,15111.145180000054,664890.3879200018,0.7176317425042363,284.0,0.0
15979,15979.0,15112.145180000054,664934.3879200018,0.717540308801034,284.5979168369432,0.0
15980,15980.0,15113.145180000054,664978.3879200018,0.717448875097832,285.19583367388645,0.0
15981,15981.0,15114.145180000054,665022.3879200018,0.7173574413946298,285.7937505108297,0.0
15982,15982.0,15115.145180000054,665066.3879200018,0.7172660076914276,286.3916673477729,0.0
15983,15983.0,15116.145180000054,665110.3879200018,0.7171745739882253,286.98958418471614,0.0
15984,15984.0,15117.145180000054,665154.3879200018,0.7170831402850231,287.58750102165936,0.0
15985,15985.0,15118.145180000054,665198.3879200018,0.7169917065818209,288.1854178586026,0.0
15986,15986.0,15119.145180000054,665242.3879200018,0.7169002728786188,288.7833346955458,0.0
15987,15987.0,15120.145180000054,665286.3879200018,0.7168088391754166,289.38125153248905,0.0
15988,15988.0,15121.145180000054,665330.3879200018,0.7167174054722143,289.9791683694323,0.0
15989,15989.0,15122.145180000054,665374.3879200018,0.716625971769012,290.5770852063755,0.0
15990,15990.0,15123.145180000054,665418.3879200018,0.7165345380658098,291.1750020433187,0.0
15991,15991.0,15124.145180000054,665462.3879200018,0.7164431043626076,291.77291888026195,0.0
15992,15992.0,15125.145180000054,665506.3879200018,0.7163516706594053,292.3708357172052,0.0
15993,15993.0,15126.145180000054,665550.3879200018,0.716260236956203,292.9687525541484,0.0
15994,15994.0,15127.145180000054,665594.3879200018,0.7161688032530007,293.56666939109164,0.0
15995,15995.0,15128.145180000054,665638.3879200018,0.7160773695497984,294.16458622803486,0.0
15996,15996.0,15129.145180000054,665682.3879200018,0.7159859358465962,294.7625030649781,0.0
15997,15997.0,15130.145180000054,665726.3879200018,0.715894502143394,295.3604199019213,0.0
15998,15998.0,15131.145180000054,665770.3879200018,0.7158030684401917,295.95833673886455,0.0
15999,15999.0,15132.145180000054,665814.3879200018,0.7157116347369895,296.5562535758078,0.0
16000,16000.0,15133.145180000054,665858.3879200018,0.7156202010337873,297.154170412751,0.0
16001,16001.0,15134.145180000054,665902.3879200018,0.715528767330585,297.7520872496942,0.0
16002,16002.0,15135.145180000054,665946.3879200018,0.7154373336273828,298.35000408663745,0.0
16003,16003.0,15136.145180000054,665990.3879200018,0.7153458999241805,298.9479209235807,0.0
16004,16004.0,15137.145180000054,666034.3879200018,0.7152544662209783,299.5458377605239,0.0
16005,16005.0,15138.145180000054,666078.3879200018,0.7151630325177761,300.14375459746714,0.0
16006,16006.0,15139.145180000054,666122.3879200018,0.7150715988145738,300.7416714344104,0.0
16007,16007.0,15140.145180000054,666166.3879200018,0.7149801651113715,301.3395882713536,0.0
16008,16008.0,15141.145180000054,666210.3879200018,0.7148887314081692,301.9375051082968,0.0
16009,16009.0,15142.145180000054,666254.3879200018,0.7147972977049669,302.53542194524005,0.0
16010,16010.0,15143.145180000054,666298.3879200018,0.7147058640017646,303.1333387821833,0.0
16011,16011.0,15144.145180000054,666342.3879200018,0.7146144302985623,303.7312556191265,0.0
16012,16012.0,15145.145180000054,666386.3879200018,0.7145229965953601,304.3291724560697,0.0
16013,16013.0,15146.145180000054,666430.3879200018,0.7144315628921579,304.9270892930129,0.0
16014,16014.0,15147.145180000054,666474.3879200018,0.7143401291889556,305.5250061299562,0.0
16015,16015.0,15148.145180000054,666518.3879200018,0.7142486954857534,306.1229229668994,0.0
16016,16016.0,15148.61206800004,666538.9309920011,0.714128779953914,307.0,0.0
16017,16017.0,15149.61206800004,666582.9309920011,0.7141145724837319,307.0,0.0
16018,16018.0,15150.346620000057,666615.2512800018,0.7139853792404862,307.9194658,0.0
16019,16019.0,15151.346620000057,666659.2512800018,0.7139711717703041,307.9194658,0.0
16020,16020.0,15152.081172000058,666691.571568002,0.7138706142902571,308.61722189999995,0.0
16021,16021.0,15153.081172000058,666735.571568002,0.713856406820075,308.61722189999995,0.0
16022,16022.0,15153.815712000052,666767.8913280017,0.713784485273716,309.09326830000003,0.0
16023,16023.0,15154.815712000052,666811.8913280017,0.7137702778035339,309.09326830000003,0.0
16024,16024.0,15155.55026400004,666844.2116160012,0.7137269918627996,309.3476049,0.0
16025,16025.0,15156.55026400004,666888.2116160012,0.7137127843926176,309.3476049,0.0
16026,16026.0,15157.392564000034,666925.272816001,0.7136811342692185,309.5,0.0
16027,16027.0,15158.392564000034,666969.272816001,0.7136669267990364,309.5,0.0
16028,16028.0,15159.392564000034,667013.272816001,0.7136424224990701,309.57972223497774,0.0
16029,16029.0,15160.392564000034,667057.272816001,0.7136179181991037,309.6594444699555,0.0
16030,16030.0,15161.392564000034,667101.272816001,0.7135934138991372,309.7391667049332,0.0
16031,16031.0,15162.392564000034,667145.272816001,0.7135689095991707,309.8188889399109,0.0
16032,16032.0,15163.392564000034,667189.272816001,0.7135444052992043,309.8986111748887,0.0
16033,16033.0,15164.392564000034,667233.272816001,0.7135199009992378,309.9783334098664,0.0
16034,16034.0,15165.392564000034,667277.272816001,0.7134953966992713,310.05805564484416,0.0
16035,16035.0,15166.392564000034,667321.272816001,0.7134708923993048,310.1377778798219,0.0
16036,16036.0,15167.392564000034,667365.272816001,0.7134463880993384,310.21750011479963,0.0
16037,16037.0,15168.392564000034,667409.272816001,0.7134218837993719,310.29722234977737,0.0
16038,16038.0,15169.392564000034,667453.272816001,0.7133973794994053,310.3769445847551,0.0
16039,16039.0,15170.392564000034,667497.272816001,0.7133728751994389,310.45666681973285,0.0
16040,16040.0,15171.392564000034,667541.272816001,0.7133483708994725,310.5363890547106,0.0
16041,16041.0,15172.392564000034,667585.272816001,0.7133238665995061,310.6161112896883,0.0
16042,16042.0,15173.392564000034,667629.272816001,0.7132993622995396,310.69583352466606,0.0
16043,16043.0,15174.392564000034,667673.272816001,0.7132748579995731,310.7755557596438,0.0
16044,16044.0,15175.392564000034,667717.272816001,0.7132503536996067,310.8552779946216,0.0
16045,16045.0,15176.207892000044,667753.1472480014,0.7132200778279388,311.0,0.0
16046,16046.0,15177.207892000044,667797.1472480014,0.7132058703577567,311.0,0.0
16047,16047.0,15177.286152000055,667800.590688002,0.71317813333329,311.2061427,0.0
16048,16048.0,15178.286152000055,667844.590688002,0.713163925863108,311.2061427,0.0
16049,16049.0,15178.364424000038,667848.0346560011,0.7131059787818371,311.64618260000003,0.0
16050,16050.0,15179.364424000038,667892.0346560011,0.713091771311655,311.64618260000003,0.0
16051,16051.0,15179.442684000036,667895.4780960011,0.7130036145145583,312.3201197,0.0
16052,16052.0,15180.442684000036,667939.4780960011,0.7129894070443761,312.3201197,0.0
16053,16053.0,15180.520956000044,667942.9220640014,0.7128710401904746,313.227954,0.0
16054,16054.0,15180.807192000046,667955.5164480015,0.7128318363607382,313.5,0.0
16055,16055.0,15181.807192000046,667999.5164480015,0.7128176288905561,313.5,0.0
16056,16056.0,15182.807192000046,668043.5164480015,0.7126779289874572,314.47161334452767,0.0
16057,16057.0,15183.807192000046,668087.5164480015,0.7125382290843583,315.44322668905534,0.0
16058,16058.0,15184.807192000046,668131.5164480015,0.7123985291812595,316.414840033583,0.0
16059,16059.0,15185.807192000046,668175.5164480015,0.7122588292781606,317.3864533781107,0.0
16060,16060.0,15186.807192000046,668219.5164480015,0.7121191293750617,318.35806672263834,0.0
16061,16061.0,15187.497096000036,668249.8722240011,0.7118972574201986,320.0,0.0
16062,16062.0,15188.102748000045,668276.5209120015,0.711814306056771,320.5756214,0.0
16063,16063.0,15189.102748000045,668320.5209120015,0.7118000985865889,320.5756214,0.0
16064,16064.0,15190.102748000045,668364.5209120015,0.7116868652523584,321.34231982735963,0.0
16065,16065.0,15191.102748000045,668408.5209120015,0.7115736319181278,322.1090182547193,0.0
16066,16066.0,15191.493732000044,668425.7242080014,0.7114303336321288,323.1754835,0.0
16067,16067.0,15192.493732000044,668469.7242080014,0.7114161261619468,323.1754835,0.0
16068,16068.0,15193.493732000044,668513.7242080014,0.7113503454995724,323.5747840840211,0.0
16069,16069.0,15194.493732000044,668557.7242080014,0.711284564837198,323.97408466804217,0.0
16070,16070.0,15194.884704000044,668574.9269760015,0.7112072732478759,324.5295006,0.0
16071,16071.0,15195.884704000044,668618.9269760015,0.7111930657776939,324.5295006,0.0
16072,16072.0,15196.884704000044,668662.9269760015,0.7111747381483807,324.56140054408706,0.0
16073,16073.0,15197.884704000044,668706.9269760015,0.7111564105190674,324.5933004881741,0.0
16074,16074.0,15198.275688000042,668724.1302720014,0.7111451245501169,324.6376728,0.0
16075,16075.0,15199.275688000042,668768.1302720014,0.7111309170799349,324.6376728,0.0
16076,16076.0,15200.275688000042,668812.1302720014,0.7111542173826517,324.30217230043843,0.0
16077,16077.0,15201.275688000042,668856.1302720014,0.7111775176853686,323.96667180087684,0.0
16078,16078.0,15201.666660000044,668873.3330400015,0.7112212937301848,323.5,0.0
