,Time(sec),Distance(feet),SOC,Elevation(feet),Surplus(Foot-pound)
138,136.66666399999713,6013.333215999874,0.0,16.0,0.0
139,137.66666399999713,6057.333215999874,0.0,16.0,0.0
140,138.66666399999713,6101.333215999874,0.0,16.0,0.0
141,139.66666399999713,6145.333215999874,0.0,16.0,0.0
142,140.66666399999713,6189.333215999874,0.0,16.0,0.0
143,141.66666399999713,6233.333215999874,0.0,16.0,0.0
144,142.66666399999713,6277.333215999874,0.0,16.0,0.0
145,143.66666399999713,6321.333215999874,0.0,16.0,0.0
146,144.66666399999713,6365.333215999874,0.0,16.0,0.0
147,145.66666399999713,6409.333215999874,0.0,16.0,0.0
148,146.66666399999713,6453.333215999874,0.0,16.0,0.0
149,147.66666399999713,6497.333215999874,0.0,16.0,0.0
150,148.66666399999713,6541.333215999874,0.0,16.0,0.0
151,149.66666399999713,6585.333215999874,0.0,16.0,0.0
152,150.66666399999713,6629.333215999874,0.0,16.0,0.0
153,151.66666399999713,6673.333215999874,0.0,16.0,0.0
154,152.66666399999713,6717.333215999874,0.0,16.0,0.0
155,153.66666399999713,6761.333215999874,0.0,16.0,0.0
156,154.66666399999713,6805.333215999874,0.0,16.0,0.0
157,155.66666399999713,6849.333215999874,0.0,16.0,0.0
158,156.66666399999713,6893.333215999874,0.0,16.0,0.0
159,157.66666399999713,6937.333215999874,0.0,16.0,0.0
160,158.66666399999713,6981.333215999874,0.0,16.0,0.0
161,159.66666399999713,7025.333215999874,0.0,16.0,0.0
162,160.66666399999713,7069.333215999874,0.0,16.0,0.0
163,161.66666399999713,7113.333215999874,0.0,16.0,0.0
164,162.66666399999713,7157.333215999874,0.0,16.0,0.0
165,163.66666399999713,7201.333215999874,0.0,16.0,0.0
166,164.66666399999713,7245.333215999874,0.0,16.0,0.0
167,165.66666399999713,7289.333215999874,0.0,16.0,0.0
168,166.66666399999713,7333.333215999874,0.0,16.0,0.0
169,167.66666399999713,7377.333215999874,0.0,16.0,0.0
170,168.66666399999713,7421.333215999874,0.0,16.0,0.0
171,169.66666399999713,7465.333215999874,0.0,16.0,0.0
172,170.66666399999713,7509.333215999874,0.0,16.0,0.0
173,171.66666399999713,7553.333215999874,0.0,16.0,0.0
174,172.66666399999713,7597.333215999874,0.0,16.0,0.0
175,173.66666399999713,7641.333215999874,0.0,16.0,0.0
176,174.66666399999713,7685.333215999874,0.0,16.0,0.0
177,174.99999599999228,7699.99982399966,0.0,16.0,0.0
178,175.99999599999228,7743.99982399966,0.0,16.0,0.0
179,176.99999599999228,7787.99982399966,0.0,16.046398295215266,0.0
180,177.99999599999228,7831.99982399966,0.0,16.09279659043053,0.0
181,178.99999599999228,7875.99982399966,0.0,16.139194885645797,0.0
182,179.99999599999228,7919.99982399966,0.0,16.185593180861062,0.0
183,180.99999599999228,7963.99982399966,0.0,16.231991476076328,0.0
184,181.99999599999228,8007.99982399966,0.0,16.278389771291593,0.0
185,182.99999599999228,8051.99982399966,0.0,16.32478806650686,0.0
186,183.99999599999228,8095.99982399966,0.0,16.371186361722124,0.0
187,184.99999599999228,8139.99982399966,0.0,16.41758465693739,0.0
188,185.99999599999228,8183.99982399966,0.0,16.463982952152655,0.0
189,186.99999599999228,8227.99982399966,0.0,16.51038124736792,0.0
190,187.99999599999228,8271.99982399966,0.0,16.556779542583186,0.0
191,188.99999599999228,8315.99982399966,0.0,16.60317783779845,0.0
192,189.99999599999228,8359.99982399966,0.0,16.649576133013717,0.0
193,190.99999599999228,8403.99982399966,0.0,16.695974428228983,0.0
194,191.99999599999228,8447.99982399966,0.0,16.742372723444248,0.0
195,192.99999599999228,8491.99982399966,0.0,16.788771018659514,0.0
196,193.99999599999228,8535.99982399966,0.0,16.83516931387478,0.0
197,194.99999599999228,8579.99982399966,0.0,16.881567609090045,0.0
198,195.99999599999228,8623.99982399966,0.0,16.92796590430531,0.0
199,196.5525119999984,8648.310527999929,0.0,17.0,0.0
200,197.5525119999984,8692.310527999929,0.0,17.0,0.0
201,198.5525119999984,8736.310527999929,0.0,16.956547614081646,0.0
202,199.5525119999984,8780.310527999929,0.0,16.913095228163293,0.0
203,200.5525119999984,8824.310527999929,0.0,16.86964284224494,0.0
204,201.5525119999984,8868.310527999929,0.0,16.826190456326586,0.0
205,202.5525119999984,8912.310527999929,0.0,16.782738070408232,0.0
206,203.5525119999984,8956.310527999929,0.0,16.73928568448988,0.0
207,204.5525119999984,9000.310527999929,0.0,16.695833298571525,0.0
208,205.5525119999984,9044.310527999929,0.0,16.65238091265317,0.0
209,206.5525119999984,9088.310527999929,0.0,16.608928526734818,0.0
210,207.5525119999984,9132.310527999929,0.0,16.565476140816465,0.0
211,208.5525119999984,9176.310527999929,0.0,16.52202375489811,0.0
212,209.5525119999984,9220.310527999929,0.0,16.478571368979757,0.0
213,210.5525119999984,9264.310527999929,0.0,16.435118983061404,0.0
214,211.5525119999984,9308.310527999929,0.0,16.39166659714305,0.0
215,212.5525119999984,9352.310527999929,0.0,16.348214211224697,0.0
216,213.5525119999984,9396.310527999929,0.0,16.304761825306343,0.0
217,214.5525119999984,9440.310527999929,0.0,16.26130943938799,0.0
