,Time(sec),Distance(feet),SOC,Elevation(feet),Surplus(Foot-pound)
2752,2621.982524,115367.2310560001,0.0,390.4110941884822,0.0
2753,2622.982524,115411.2310560001,0.0,389.8475379560215,0.0
2754,2623.982524,115455.2310560001,0.0,389.28398172356077,0.0
2755,2624.982524,115499.2310560001,0.0,388.72042549110006,0.0
2756,2625.2608799999953,115511.4787199999,0.0,388.0,0.0
2757,2626.2608799999953,115555.4787199999,0.0,388.0,0.0
2758,2627.2608799999953,115599.4787199999,0.0,387.7147056675431,0.0
2759,2628.2608799999953,115643.4787199999,0.0,387.42941133508623,0.0
2760,2629.2608799999953,115687.4787199999,0.0,387.14411700262934,0.0
2761,2630.2608799999953,115731.4787199999,0.0,386.85882267017246,0.0
2762,2631.2608799999953,115775.4787199999,0.0,386.5735283377156,0.0
2763,2632.2608799999953,115819.4787199999,0.0,386.2882340052587,0.0
2764,2632.2711839999956,115819.93209599992,0.0,386.0,0.0
2765,2633.2711839999956,115863.93209599992,0.0,386.0,0.0
2766,2634.2711839999956,115907.93209599992,0.0,385.41818164892584,0.0
2767,2635.2711839999956,115951.93209599992,0.0,384.8363632978517,0.0
2768,2636.2711839999956,115995.93209599992,0.0,384.2545449467775,0.0
2769,2637.2711839999956,116039.93209599992,0.0,383.67272659570335,0.0
2770,2638.2711839999956,116083.93209599992,0.0,383.0909082446292,0.0
2771,2639.2711839999956,116127.93209599992,0.0,382.50908989355503,0.0
2772,2640.2711839999956,116171.93209599992,0.0,381.92727154248087,0.0
2773,2641.2711839999956,116215.93209599992,0.0,381.3454531914067,0.0
2774,2642.2711839999956,116259.93209599992,0.0,380.76363484033254,0.0
2775,2643.2711839999956,116303.93209599992,0.0,380.1818164892584,0.0
2776,2644.2711839999956,116347.93209599992,0.0,379.5999981381842,0.0
2777,2645.2711839999956,116391.93209599992,0.0,379.01817978711006,0.0
2778,2646.0211800000016,116424.93192000018,0.0,378.0,0.0
2779,2647.0211800000016,116468.93192000018,0.0,378.0,0.0
2780,2648.0211800000016,116512.93192000018,0.0,377.5024391603093,0.0
2781,2649.0211800000016,116556.93192000018,0.0,377.00487832061856,0.0
2782,2650.0211800000016,116600.93192000018,0.0,376.50731748092784,0.0
2783,2651.0211800000016,116644.93192000018,0.0,376.0097566412371,0.0
2784,2652.0211800000016,116688.93192000018,0.0,375.5121958015464,0.0
2785,2653.0211800000016,116732.93192000018,0.0,375.0146349618557,0.0
2786,2654.0211800000016,116776.93192000018,0.0,374.51707412216496,0.0
2787,2655.0211800000016,116820.93192000018,0.0,374.01951328247424,0.0
2788,2656.0211800000016,116864.93192000018,0.0,373.5219524427835,0.0
2789,2657.0211800000016,116908.93192000018,0.0,373.0243916030928,0.0
2790,2658.0211800000016,116952.93192000018,0.0,372.5268307634021,0.0
2791,2659.0211800000016,116996.93192000018,0.0,372.02926992371135,0.0
2792,2660.0211800000016,117040.93192000018,0.0,371.53170908402063,0.0
2793,2661.0211800000016,117084.93192000018,0.0,371.0341482443299,0.0
2794,2662.0211800000016,117128.93192000018,0.0,370.5365874046392,0.0
2795,2663.0211800000016,117172.93192000018,0.0,370.0390265649485,0.0
2796,2664.0211800000016,117216.93192000018,0.0,369.54146572525775,0.0
2797,2665.0211800000016,117260.93192000018,0.0,369.04390488556703,0.0
2798,2666.0211800000016,117304.93192000018,0.0,368.5463440458763,0.0
2799,2667.0211800000016,117348.93192000018,0.0,368.0487832061856,0.0
2800,2668.0211800000016,117392.93192000018,0.0,367.55122236649487,0.0
2801,2669.0211800000016,117436.93192000018,0.0,367.05366152680415,0.0
2802,2670.0211800000016,117480.93192000018,0.0,366.5561006871134,0.0
2803,2671.0211800000016,117524.93192000018,0.0,366.0585398474227,0.0
2804,2672.0211800000016,117568.93192000018,0.0,365.560979007732,0.0
2805,2673.0211800000016,117612.93192000018,0.0,365.06341816804127,0.0
2806,2674.0211800000016,117656.93192000018,0.0,364.56585732835055,0.0
2807,2675.0211800000016,117700.93192000018,0.0,364.0682964886598,0.0
2808,2676.0211800000016,117744.93192000018,0.0,363.5707356489691,0.0
2809,2677.0211800000016,117788.93192000018,0.0,363.0731748092784,0.0
2810,2678.0211800000016,117832.93192000018,0.0,362.57561396958766,0.0
2811,2679.0211800000016,117876.93192000018,0.0,362.07805312989694,0.0
2812,2680.0211800000016,117920.93192000018,0.0,361.5804922902062,0.0
2813,2680.1878560000014,117928.26566400017,0.0,361.0,0.0
2814,2681.1878560000014,117972.26566400017,0.0,361.0,0.0
2815,2682.1878560000014,118016.26566400017,0.0,361.0,0.0
2816,2683.1878560000014,118060.26566400017,0.0,361.0,0.0
2817,2684.1878560000014,118104.26566400017,0.0,361.0,0.0
2818,2685.1878560000014,118148.26566400017,0.0,361.0,0.0
2819,2686.1878560000014,118192.26566400017,0.0,361.0,0.0
2820,2687.1878560000014,118236.26566400017,0.0,361.0,0.0
2821,2688.1878560000014,118280.26566400017,0.0,361.0,0.0
2822,2689.1878560000014,118324.26566400017,0.0,361.0,0.0
2823,2690.1878560000014,118368.26566400017,0.0,361.0,0.0
2824,2691.1878560000014,118412.26566400017,0.0,361.0,0.0
2825,2692.1878560000014,118456.26566400017,0.0,361.0,0.0
2826,2692.2711839999956,118459.93209599992,0.0,361.0,0.0
2827,2693.2711839999956,118503.93209599992,0.0,361.0,0.0
2828,2694.2711839999956,118547.93209599992,0.0,360.5199999232001,0.0
2829,2695.2711839999956,118591.93209599992,0.0,360.0399998464002,0.0
2830,2696.2711839999956,118635.93209599992,0.0,359.55999976960027,0.0
2831,2697.2711839999956,118679.93209599992,0.0,359.07999969280036,0.0
2832,2698.2711839999956,118723.93209599992,0.0,358.59999961600045,0.0
2833,2699.2711839999956,118767.93209599992,0.0,358.11999953920053,0.0
2834,2700.2711839999956,118811.93209599992,0.0,357.6399994624006,0.0
2835,2701.2711839999956,118855.93209599992,0.0,357.1599993856007,0.0
2836,2702.2711839999956,118899.93209599992,0.0,356.6799993088008,0.0
2837,2703.2711839999956,118943.93209599992,0.0,356.1999992320009,0.0
2838,2704.2711839999956,118987.93209599992,0.0,355.719999155201,0.0
2839,2705.2711839999956,119031.93209599992,0.0,355.23999907840107,0.0
2840,2706.2711839999956,119075.93209599992,0.0,354.75999900160116,0.0
2841,2707.2711839999956,119119.93209599992,0.0,354.27999892480125,0.0
2842,2708.2711839999956,119163.93209599992,0.0,353.79999884800134,0.0
2843,2709.2711839999956,119207.93209599992,0.0,353.3199987712014,0.0
2844,2710.2711839999956,119251.93209599992,0.0,352.8399986944015,0.0
2845,2711.2711839999956,119295.93209599992,0.0,352.3599986176016,0.0
2846,2712.2711839999956,119339.93209599992,0.0,351.8799985408017,0.0
2847,2713.2711839999956,119383.93209599992,0.0,351.3999984640018,0.0
2848,2714.2711839999956,119427.93209599992,0.0,350.9199983872019,0.0
2849,2715.2711839999956,119471.93209599992,0.0,350.43999831040196,0.0
2850,2716.2711839999956,119515.93209599992,0.0,349.95999823360205,0.0
2851,2717.2711800000016,119559.93192000018,0.0,349.0,0.0
2852,2718.2711800000016,119603.93192000018,0.0,349.0,0.0
2853,2719.2711800000016,119647.93192000018,0.0,349.0,0.0
2854,2720.2711800000016,119691.93192000018,0.0,349.0,0.0
2855,2721.2711800000016,119735.93192000018,0.0,349.0,0.0
2856,2722.2711800000016,119779.93192000018,0.0,349.0,0.0
2857,2723.2711800000016,119823.93192000018,0.0,349.0,0.0
2858,2724.2711800000016,119867.93192000018,0.0,349.0,0.0
2859,2725.2711800000016,119911.93192000018,0.0,349.0,0.0
2860,2726.2711800000016,119955.93192000018,0.0,349.0,0.0
2861,2727.2711800000016,119999.93192000018,0.0,349.0,0.0
2862,2728.1045159999976,120036.598704,0.0,349.0,0.0
2863,2729.1045159999976,120080.598704,0.0,349.0,0.0
2864,2730.1045159999976,120124.598704,0.0,348.34862082436536,0.0
2865,2731.1045159999976,120168.598704,0.0,347.6972416487307,0.0
2866,2732.1045159999976,120212.598704,0.0,347.04586247309607,0.0
2867,2733.1045159999976,120256.598704,0.0,346.3944832974614,0.0
2868,2734.1045159999976,120300.598704,0.0,345.7431041218268,0.0
2869,2735.1045159999976,120344.598704,0.0,345.09172494619213,0.0
2870,2736.1045159999976,120388.598704,0.0,344.4403457705575,0.0
2871,2737.1045159999976,120432.598704,0.0,343.78896659492284,0.0
2872,2738.1045159999976,120476.598704,0.0,343.1375874192882,0.0
2873,2739.1045159999976,120520.598704,0.0,342.48620824365355,0.0
2874,2740.1045159999976,120564.598704,0.0,341.8348290680189,0.0
2875,2741.1045159999976,120608.598704,0.0,341.18344989238426,0.0
